date,region,state,cases,deaths
4/1/2020,Centro-Oeste,Distrito Federal,355,3
4/1/2020,Centro-Oeste,Goiás,71,1
4/1/2020,Centro-Oeste,Mato Grosso,27,0
4/1/2020,Centro-Oeste,Mato Grosso do Sul,51,1
4/1/2020,Nordeste,Alagoas,18,1
4/1/2020,Nordeste,Bahia,246,2
4/1/2020,Nordeste,Ceará,444,8
4/1/2020,Nordeste,Maranhão,52,1
4/1/2020,Nordeste,Paraíba,20,1
4/1/2020,Nordeste,Pernambuco,95,8
4/1/2020,Nordeste,Piauí,18,4
4/1/2020,Nordeste,Rio Grande do Norte,92,2
4/1/2020,Nordeste,Sergipe,20,0
4/1/2020,Norte,Acre,43,0
4/1/2020,Norte,Amapá,11,0
4/1/2020,Norte,Amazonas,200,3
4/1/2020,Norte,Pará,40,1
4/1/2020,Norte,Rondônia,9,1
4/1/2020,Norte,Roraima,22,0
4/1/2020,Norte,Tocantins,12,0
4/1/2020,Sudeste,Espírito Santo,96,0
4/1/2020,Sudeste,Minas Gerais,314,3
4/1/2020,Sudeste,Rio de Janeiro,832,28
4/1/2020,Sudeste,São Paulo,2981,164
4/1/2020,Sul,Paraná,224,3
4/1/2020,Sul,Rio Grande do Sul,306,4
4/1/2020,Sul,Santa Catarina,235,2
4/2/2020,Centro-Oeste,Distrito Federal,370,4
4/2/2020,Centro-Oeste,Goiás,73,1
4/2/2020,Centro-Oeste,Mato Grosso,36,0
4/2/2020,Centro-Oeste,Mato Grosso do Sul,53,1
4/2/2020,Nordeste,Alagoas,18,1
4/2/2020,Nordeste,Bahia,267,3
4/2/2020,Nordeste,Ceará,550,20
4/2/2020,Nordeste,Maranhão,71,1
4/2/2020,Nordeste,Paraíba,21,1
4/2/2020,Nordeste,Pernambuco,106,9
4/2/2020,Nordeste,Piauí,19,4
4/2/2020,Nordeste,Rio Grande do Norte,105,2
4/2/2020,Nordeste,Sergipe,23,2
4/2/2020,Norte,Acre,43,0
4/2/2020,Norte,Amapá,11,0
4/2/2020,Norte,Amazonas,229,3
4/2/2020,Norte,Pará,46,1
4/2/2020,Norte,Rondônia,10,1
4/2/2020,Norte,Roraima,26,0
4/2/2020,Norte,Tocantins,12,0
4/2/2020,Sudeste,Espírito Santo,120,1
4/2/2020,Sudeste,Minas Gerais,370,4
4/2/2020,Sudeste,Rio de Janeiro,992,41
4/2/2020,Sudeste,São Paulo,3506,188
4/2/2020,Sul,Paraná,252,4
4/2/2020,Sul,Rio Grande do Sul,334,5
4/2/2020,Sul,Santa Catarina,247,2
4/3/2020,Centro-Oeste,Distrito Federal,402,5
4/3/2020,Centro-Oeste,Goiás,88,2
4/3/2020,Centro-Oeste,Mato Grosso,44,1
4/3/2020,Centro-Oeste,Mato Grosso do Sul,60,1
4/3/2020,Nordeste,Alagoas,22,2
4/3/2020,Nordeste,Bahia,282,5
4/3/2020,Nordeste,Ceará,627,22
4/3/2020,Nordeste,Maranhão,81,1
4/3/2020,Nordeste,Paraíba,29,1
4/3/2020,Nordeste,Pernambuco,136,10
4/3/2020,Nordeste,Piauí,21,4
4/3/2020,Nordeste,Rio Grande do Norte,176,4
4/3/2020,Nordeste,Sergipe,25,2
