state,cases,deaths,region
Distrito Federal,2682,42,Centro-Oeste
Goiás,1093,47,Centro-Oeste
Mato Grosso,519,18,Centro-Oeste
Mato Grosso do Sul,362,11,Centro-Oeste
Alagoas,2258,126,Nordeste
Bahia,5558,202,Nordeste
Ceará,16692,1114,Nordeste
Maranhão,7599,379,Nordeste
Paraíba,2341,135,Nordeste
Pernambuco,13275,1047,Nordeste
Piauí,1278,42,Nordeste
Rio Grande do Norte,1928,88,Nordeste
Sergipe,1771,34,Nordeste
Acre,1447,41,Norte
Amapá,2613,72,Norte
Amazonas,12599,1004,Norte
Pará,7256,652,Norte
Rondônia,1302,43,Norte
Roraima,1290,21,Norte
Tocantins,688,11,Norte
Espírito Santo,4599,181,Sudeste
Minas Gerais,3237,119,Sudeste
Rio de Janeiro,17062,1714,Sudeste
São Paulo,45444,3709,Sudeste
Paraná,1835,109,Sul
Rio Grande do Sul,2542,97,Sul
Santa Catarina,3429,65,Sul
